vacancy_id,job_format_id
0,3
1,0
2,0
3,0
4,0
5,2
6,3
7,0
8,2
9,2
10,0
11,0
12,1
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,3
21,2
22,0
23,1
24,1
25,1
26,3
27,0
28,0
29,0
30,3
31,0
32,0
33,0
34,3
35,3
36,0
37,0
38,0
39,0
40,1
41,0
42,0
43,3
44,3
45,3
46,3
47,3
48,0
49,0
50,0
51,0
52,0
53,0
54,3
55,3
56,1
57,1
58,1
59,0
60,1
61,0
62,3
63,3
64,0
65,1
66,1
67,0
68,1
69,0
70,0
71,3
72,0
73,1
74,1
75,1
76,0
77,0
78,1
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,3
87,3
88,2
89,0
90,1
91,0
92,0
93,1
94,0
95,3
96,3
97,1
98,3
99,0
100,3
101,0
102,0
103,0
104,2
105,0
106,0
107,3
108,1
109,3
110,0
111,0
112,3
113,0
114,0
115,3
116,0
117,0
118,0
119,1
120,3
121,3
122,0
123,0
124,0
125,1
126,0
127,3
128,0
129,1
130,0
131,3
132,3
133,0
134,0
135,0
136,0
137,0
138,0
139,1
140,1
141,0
142,0
143,0
144,3
145,0
146,0
147,0
148,0
149,0
150,3
151,0
152,0
153,0
154,1
155,0
156,3
157,0
158,0
159,0
160,3
161,3
162,0
163,0
165,3
166,0
167,0
168,0
169,3
170,0
171,1
172,1
173,0
174,0
175,0
177,0
178,0
179,0
180,0
181,1
182,3
184,3
185,0
186,0
187,0
188,1
189,0
190,2
191,1
192,1
193,3
194,0
195,0
196,1
197,2
198,1
199,0
200,3
202,0
203,0
204,0
205,0
206,1
207,0
208,0
209,0
210,0
211,0
212,0
213,3
214,0
215,3
216,0
217,0
218,0
219,3
220,1
221,0
223,0
224,0
225,0
226,0
227,3
228,1
229,3
230,3
231,0
232,1
233,1
234,0
235,1
236,3
237,1
238,0
